column_name,raw_value,count,dtype
Accident Type (Cleaned),Minor,37990,object
Accident Type (Cleaned),PDO,15767,object
Accident Type (Cleaned),Serious,4445,object
Accident Type (Cleaned),Fatal,1779,object
Amet,0.0115635835508003,21652,float64
Amet,0.0505011743530673,20214,float64
Amet,-0.0273740072514665,18055,float64
Amet,-0.0663115980537334,50,float64
Amet,-78.1751187474012,9,float64
Amet,-70.07609986052968,1,float64
Day of the week_Friday,False,50948,bool
Day of the week_Friday,True,9033,bool
Day of the week_Monday,False,50809,bool
Day of the week_Monday,True,9172,bool
Day of the week_Saturday,False,51185,bool
Day of the week_Saturday,True,8796,bool
Day of the week_Sunday,False,54247,bool
Day of the week_Sunday,True,5734,bool
Day of the week_Thursday,False,51137,bool
Day of the week_Thursday,True,8844,bool
Day of the week_Tuesday,False,50520,bool
Day of the week_Tuesday,True,9461,bool
Day of the week_Wensday,False,51040,bool
Day of the week_Wensday,True,8941,bool
Driver Education Level_0,False,59980,bool
Driver Education Level_0,True,1,bool
Driver Education Level_12,False,59980,bool
Driver Education Level_12,True,1,bool
Driver Education Level_Bachlor degree,False,53666,bool
Driver Education Level_Bachlor degree,True,6315,bool
Driver Education Level_Below grade 10,False,59768,bool
Driver Education Level_Below grade 10,True,213,bool
Driver Education Level_Below grade 8,False,56924,bool
Driver Education Level_Below grade 8,True,3057,bool
Driver Education Level_Below grade 8bet,False,59979,bool
Driver Education Level_Below grade 8bet,True,2,bool
Driver Education Level_Between grade 10 and 12,False,59492,bool
Driver Education Level_Between grade 10 and 12,True,489,bool
Driver Education Level_Between grade 8 and 12,True,38017,bool
Driver Education Level_Between grade 8 and 12,False,21964,bool
Driver Education Level_Between grade 8 and 123,False,59980,bool
Driver Education Level_Between grade 8 and 123,True,1,bool
Driver Education Level_Between grade 8 and 12Between grade 8 and 12,False,59963,bool
Driver Education Level_Between grade 8 and 12Between grade 8 and 12,True,18,bool
Driver Education Level_Between grade 8 and 12Between grade 8 and 12Between grade 8 and 12Between grade 8 and 12,False,59979,bool
Driver Education Level_Between grade 8 and 12Between grade 8 and 12Between grade 8 and 12Between grade 8 and 12,True,2,bool
Driver Education Level_Between grade 8 and 12C,False,59979,bool
Driver Education Level_Between grade 8 and 12C,True,2,bool
Driver Education Level_Certificate,False,51880,bool
Driver Education Level_Certificate,True,8101,bool
Driver Education Level_Certificate1,False,59980,bool
Driver Education Level_Certificate1,True,1,bool
Driver Education Level_Day-Good visibility,False,59980,bool
Driver Education Level_Day-Good visibility,True,1,bool
Driver Education Level_Masters degree,False,58258,bool
Driver Education Level_Masters degree,True,1723,bool
Driver Education Level_Not Mentioned,False,59941,bool
Driver Education Level_Not Mentioned,True,40,bool
Driver Education Level_Other,False,59323,bool
Driver Education Level_Other,True,658,bool
Driver Education Level_PHD,False,59791,bool
Driver Education Level_PHD,True,190,bool
Driver Education Level_Unknown,False,58835,bool
Driver Education Level_Unknown,True,1146,bool
Driver Education Level_bab,False,59980,bool
Driver Education Level_bab,True,1,bool
Driver Education Level_brt,False,59980,bool
Driver Education Level_brt,True,1,bool
Driver Education Level_vet,False,59980,bool
Driver Education Level_vet,True,1,bool
Driver Sex_28,False,59980,bool
Driver Sex_28,True,1,bool
Driver Sex_29,False,59980,bool
Driver Sex_29,True,1,bool
Driver Sex_32,False,59980,bool
Driver Sex_32,True,1,bool
Driver Sex_36,False,59980,bool
Driver Sex_36,True,1,bool
Driver Sex_Femal,False,59980,bool
Driver Sex_Femal,True,1,bool
Driver Sex_Female,False,58054,bool
Driver Sex_Female,True,1927,bool
Driver Sex_Mal,False,59980,bool
Driver Sex_Mal,True,1,bool
Driver Sex_Male,True,58003,bool
Driver Sex_Male,False,1978,bool
Driver Sex_Unknown,False,59937,bool
Driver Sex_Unknown,True,44,bool
Driver Sex_mm,False,59980,bool
Driver Sex_mm,True,1,bool
Driver Vehicle Relation_EE,False,59977,bool
Driver Vehicle Relation_EE,True,4,bool
Driver Vehicle Relation_Employee,True,41994,bool
Driver Vehicle Relation_Employee,False,17987,bool
Driver Vehicle Relation_Employee2,False,59980,bool
Driver Vehicle Relation_Employee2,True,1,bool
Driver Vehicle Relation_Employeeo,False,59980,bool
Driver Vehicle Relation_Employeeo,True,1,bool
Driver Vehicle Relation_Not Mentioned,False,59587,bool
